subject_id,success_rate,attempt_count,baseline_ability_logit
20231010_rag_claude2,0.044,500,-3.07856827913314
20231010_rag_gpt35,0.004,500,-5.517452896464707
20231010_rag_swellama13b,0.012,500,-4.410776047959867
20231010_rag_swellama7b,0.014,500,-4.254599024987376
20240402_rag_claude3opus,0.07,500,-2.5866893440979424
20240402_rag_gpt4,0.028,500,-3.5471512942852352
20240509_amazon-q-developer-agent-20240430-dev,0.256,500,-1.0668635903535293
20240612_MASAI_gpt4o,0.326,500,-0.7263327295455992
20240615_appmap-navie_gpt4o,0.262,500,-1.0355993208393754
20240617_factory_code_droid,0.37,500,-0.5322168137473082
20240620_sweagent_claude3.5sonnet,0.336,500,-0.6811709895132295
20240628_autocoderover-v20240620,0.384,500,-0.4726044109457929
20240721_amazon-q-developer-agent-20240719-dev,0.388,500,-0.4557269428890525
20240728_sweagent_gpt4o,0.232,500,-1.1970523614813622
20240820_epam-ai-run-gpt-4o,0.24,500,-1.1526795099383855
20240820_honeycomb,0.406,500,-0.38052615976091214
20240824_gru,0.452,500,-0.19259310711578437
20240918_lingma-agent_lingma-swe-gpt-72b,0.25,500,-1.0986122886681098
20240918_lingma-agent_lingma-swe-gpt-7b,0.102,500,-2.1751972550179284
20240920_solver,0.436,500,-0.2574120081490247
20240924_solver,0.454,500,-0.18452177770355713
20241001_nfactorial,0.258,500,-1.056389658245763
20241002_lingma-agent_lingma-swe-gpt-72b,0.288,500,-0.9051174312760298
20241002_lingma-agent_lingma-swe-gpt-7b,0.182,500,-1.5028556495259517
20241007_nfactorial,0.316,500,-0.7722157040356383
20241016_composio_swekit,0.406,500,-0.38052615976091214
20241022_tools_claude-3-5-haiku,0.406,500,-0.38052615976091214
20241022_tools_claude-3-5-sonnet-updated,0.49,500,-0.04000533461369925
20241023_emergent,0.466,500,-0.13621020483454893
20241025_composio_swekit,0.486,500,-0.05601464155467137
20241028_solver,0.5,500,0.0
20241029_epam-ai-run-claude-3-5-sonnet,0.396,500,-0.4221599866803344
20241030_nfactorial,0.416,500,-0.339215722566964
20241105_nfactorial,0.492,500,-0.03200273108617383
20241106_navie-2-gpt4o-sonnet,0.472,500,-0.11211729812070624
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,0.462,500,-0.15229366908004557
20241108_devlo,0.542,500,0.1683968173254614
20241113_nebius-search-open-weight-models-11-24,0.406,500,-0.38052615976091214
20241120_artemis_agent,0.32,500,-0.7537718023763801
20241125_enginelabs,0.518,500,0.07203112820888292
20241125_marscode-agent-dev,0.5,500,0.0
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,0.302,500,-0.8377920853875028
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.508,500,0.032002731086173734
20241202_amazon-q-developer-agent-20241202-dev,0.55,500,0.2006706954621514
20241208_gru,0.57,500,0.2818511521409875
20241212_epam-ai-run-claude-3-5-sonnet,0.554,500,0.21684573472721994
20241212_google_jules_gemini_2.0_flash_experimental,0.522,500,0.08805685539118287
20241213_devlo,0.582,500,0.3309890152066814
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.622,500,0.4980458971195918
20241223_emergent,0.572,500,0.29001579579800096
20250110_blackboxai_agent_v1.1,0.628,500,0.5236463121950522
20250110_learn_by_interact_claude3.5,0.602,500,0.4138054400243832
20250112_ugaiforge,0.416,500,-0.339215722566964
20250118_codeshellagent_gemini_2.0_flash_experimental,0.442,500,-0.2330490803036129
20250120_Bracket,0.532,500,0.1281751934239978
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.516,500,0.06402185876493102
20250203_openhands_4x_scaled,0.608,500,0.4389130421757044
20250206_agentscope,0.634,500,0.5494156210358597
20250224_tools_claude-3-7-sonnet,0.632,500,0.5408064559779265
20250225_sweagent_claude-3-7-sonnet,0.624,500,0.5065612249795332
20250226_swerl_llama3_70b,0.412,500,-0.35570359854910066
20250228_epam-ai-run-claude-3-5-sonnet,0.628,500,0.5236463121950522
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,0.328,500,-0.7172447321390056
20250316_augment_agent_v0,0.654,500,0.6366685763994745
20250405_amazon-q-developer-agent-20250405-dev,0.654,500,0.6366685763994745
20250405_swe-rizzo_claude37,0.566,500,0.2655495441027779
20250410_cortexa,0.582,500,0.3309890152066814
20250430_zencoder_ai,0.7,500,0.8472978603872034
20250511_sweagent_lm_32b,0.402,500,-0.3971386653316105
20250514_aime_coder,0.664,500,0.6811709895132297
20250515_Refact_Agent,0.704,500,0.8664189018339818
20250516_cortexa_o3,0.682,500,0.7629782750632855
20250519_devlo,0.702,500,0.8568399175204064
20250519_trae,0.706,500,0.8760354701545602
20250520_openhands_devstral_small,0.468,500,-0.12817519342399764
20250522_sweagent_claude-4-sonnet-20250514,0.666,500,0.6901486775636889
20250522_tools_claude-4-opus,0.732,500,1.0047935334504547
20250522_tools_claude-4-sonnet,0.724,500,0.9643905266685663
20250524_openhands_claude_4_sonnet,0.704,500,0.8664189018339818
20250527_amazon.nova-premier-v1.0,0.424,500,-0.30637420546393357
20250528_patchpilot_Co-PatcheR,0.46,500,-0.16034265007517937
20250603_Refact_Agent_claude-4-sonnet,0.744,500,1.0668635903535293
20250610_augment_agent_v1,0.704,500,0.8664189018339818
20250611_moatless_claude-4-sonnet-20250514,0.708,500,0.8856902914254378
20250612_trae,0.752,500,1.1093075777848576
20250616_Skywork-SWE-32B,0.38,500,-0.4895482253187058
20250616_Skywork-SWE-32B+TTS_Bo8,0.47,500,-0.12014431184206334
20250623_warp,0.71,500,0.8953840470548413
20250627_agentless_MCTS-Refine-7B,0.232,500,-1.1970523614813622
20250629_deepswerl_r2eagent,0.422,500,-0.31456855463636585
20250629_deepswerl_r2eagent_tts,0.588,500,0.3557035985491004
20250710_bloop,0.712,500,0.9051174312760297
20250715_qodo_command,0.712,500,0.9051174312760297
20250716_openhands_kimi_k2,0.654,500,0.6366685763994745
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,0.21,500,-1.3249254147435987
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,0.102,500,-2.1751972550179284
20250725_sweagent_devstral_small_2507,0.38,500,-0.4895482253187058
20250726_mini-v1.0.0_claude-sonnet-4-20250514,0.648,500,0.6102595207541777
20250726_mini-v1.0.0_o4-mini-2025-04-16,0.45,500,-0.20067069546215124
20250731_harness_ai,0.748,500,1.087973890463054
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,0.554,500,0.21684573472721994
20250804_codesweep_sweagent_kimi_k2_instruct,0.534,500,0.13621020483454901
20250804_epam-ai-run-claude-4-sonnet,0.768,500,1.1970523614813624
20250806_SWE-Exp_DeepSeek-V3,0.42,500,-0.3227733922630512
20250807_mini-v1.7.0_gpt-5,0.65,500,0.6190392084062236
20250807_mini-v1.7.0_gpt-oss-120b,0.26,500,-1.0459685551826876
20250807_mini-v1.7.0_kimi-k2-instruct,0.438,500,-0.24928293951724503
20250807_openhands_gpt5,0.718,500,0.9345624981101105
20250819_ACoder,0.764,500,1.1747359841409104
20250822_mini-v1.9.1_glm-4.5,0.542,500,0.1683968173254614
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.604,500,0.4221599866803343
20250901_warp,0.756,500,1.1308731508863312
20250902_atlassian-rovo-dev,0.768,500,1.1970523614813624
20250915_JoyCode,0.746,500,1.0773913331852243
20250924_artemis_agent_v2,0.57,500,0.2818511521409875
20250928_trae_doubao_seed_code,0.788,500,1.312911815185867
20250929_Prometheus_v1.2_gpt5,0.712,500,0.9051174312760297
20251021_SalesforceAIResearch_SAGE_bash_only,0.73,500,0.9946225751440619
20251103_SalesforceAIResearch_SAGE_OpenHands,0.738,500,1.0355993208393754
20251103_sonar-foundation-agent_claude-sonnet-4-5,0.748,500,1.087973890463054
20251110_frogmini-14b,0.45,500,-0.20067069546215124
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,0.742,500,1.056389658245763
20251124_mini-v1.17.0_minimax-m2,0.61,500,0.44731221804366483
20251201_mini-v1.17.1_glm-4.6,0.554,500,0.21684573472721994
MiniMaxAI/MiniMax-M2,0.32456140350877194,114,-0.7328875092094593
Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3157894736842105,114,-0.7731898882334818
Qwen/Qwen3-Coder-480B-A35B-Instruct,0.32456140350877194,114,-0.7328875092094593
claude-3-5-sonnet-20240620,0.6176470588235294,170,0.47957308026188644
claude-3-5-sonnet-20241022,0.5626865671641791,670,0.25207257843094333
claude-3-7-sonnet-20250219,0.6746268656716418,670,0.729187117043142
claude-3-opus,0.2537313432835821,670,-1.0788096613719298
claude-4-opus-20250514,0.676,500,0.7354495602506349
claude-4-sonnet-20250514,0.746,500,1.0773913331852243
claude-4.5-opus-medium,0.744,500,1.0668635903535293
claude-4.5-sonnet-250929,0.706,500,0.8760354701545602
deepseek-v3.2-reasoner,0.6,500,0.4054651081081642
entrpo-ekto-30b,0.522,500,0.08805685539118287
frogboss-32b-2510,0.536,500,0.1442496088445469
gemini-2.5-flash,0.2275449101796407,334,-1.2222262446352865
gemini-2.5-pro,0.513189448441247,834,0.052770035980064196
gemini-3-pro-preview,0.7511792452830188,848,1.1049115220960966
glm-4.5,0.642,500,0.584055317289261
glm-4.6,0.682,500,0.7629782750632855
gpt-3,0.32894736842105265,152,-0.7129498078561249
gpt-3.5-turbo-instruct,0.4,160,-0.4054651081081643
gpt-4-0125,0.48823529411764705,170,-0.04706751085798574
gpt-4-0314,0.5235294117647059,170,0.09418721505970128
gpt-4-1106,0.3119402985074627,670,-0.7910637910318377
gpt-4-turbo,0.5294117647058824,170,0.11778303565638346
gpt-4o-2024-05-13,0.4233576642335766,685,-0.3090048419206023
gpt-4o-2024-08-06,0.27,500,-0.9946225751440619
gpt-4o-mini,0.10315186246418338,349,-2.162684252084043
gpt-5-2025-08-07,0.739010989010989,728,1.0408344880012983
gpt-5-mini,0.574793875147232,849,0.30143744752026624
gpt-5-nano,0.32744405182567726,849,-0.7197680959653732
gpt-5.1,0.5100286532951289,349,0.04011999378942514
gpt-oss-120b,0.41585535465924894,719,-0.3398111378867277
gpt-oss-20b,0.201949860724234,718,-1.374151974294165
gpt2,0.17105263157894737,152,-1.578185368929996
kimi-k2,0.712,500,0.9051174312760297
llama-3.3-70B-instruct,0.004545454545454545,220,-5.389071729816501
minimaxm2,0.6175243393602226,719,0.4790534647656536
o1,0.7,170,0.8472978603872034
o1-preview,0.6472346786248132,669,0.6069059229768801
o3,0.43410852713178294,129,-0.26510775041324197
o3-2025-04-16,0.6416666666666667,720,0.5826053061601216
o3-mini,0.424,500,-0.30637420546393357
o4-mini,0.646,500,0.6015025906488275
openai/gpt-oss-120b,0.34210526315789475,114,-0.6539264674066639
openai/gpt-oss-20b,0.3157894736842105,114,-0.7731898882334818
qwen2.5-coder-32b-inst,0.06944444444444445,720,-2.5952547069568657
qwen2_5coder32b,0.002,500,-6.212606095751519
qwen3-coder-30b,0.3466933867735471,499,-0.6336057868689287
qwen3-coder-30b-a3b-instruct,0.475,720,-0.10008345855698265
qwen3-coder-480b,0.5531062124248497,499,0.21322909425703127
qwen3-coder-480b-a35b-instruct,0.6875,720,0.7884573603642703
